record_id,restaurant_name,location,cuisines,estimated_cost,budget_bucket,rating,source
1,Jalsa,banashankari,"chinese, mughlai, north indian",800.0,medium,4.1,huggingface
2,Spice Elephant,banashankari,"chinese, north indian, thai",800.0,medium,4.1,huggingface
3,San Churro Cafe,banashankari,"cafe, italian, mexican",800.0,medium,3.8,huggingface
4,Addhuri Udupi Bhojana,banashankari,"north indian, south indian",300.0,low,3.7,huggingface
5,Grand Village,basavanagudi,"north indian, rajasthani",600.0,medium,3.8,huggingface
6,Timepass Dinner,basavanagudi,north indian,600.0,medium,3.8,huggingface
7,Rosewood International Hotel - Bar & Restaurant,mysore road,"andhra, chinese, north indian, south indian",800.0,medium,3.6,huggingface
8,Onesta,banashankari,"cafe, italian, pizza",600.0,medium,4.6,huggingface
9,Penthouse Cafe,banashankari,"cafe, continental, italian",700.0,medium,4.0,huggingface
10,Smacznego,banashankari,"beverages, cafe, italian, mexican, momos",550.0,medium,4.2,huggingface
11,CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,banashankari,cafe,500.0,low,4.1,huggingface
12,Cafe Shuffle,banashankari,"cafe, continental, italian",600.0,medium,4.2,huggingface
13,The Coffee Shack,banashankari,"cafe, chinese, continental, italian",500.0,low,4.2,huggingface
14,Caf-Eleven,banashankari,"cafe, continental",450.0,low,4.0,huggingface
16,Cafe Vivacity,banashankari,cafe,650.0,medium,3.8,huggingface
17,Catch-up-ino,banashankari,"cafe, chinese, continental, fast food, momos",800.0,medium,3.9,huggingface
18,Kirthi's Biryani,banashankari,"cafe, chinese, italian",700.0,medium,3.8,huggingface
19,T3H Cafe,banashankari,"american, cafe, italian",300.0,low,3.9,huggingface
20,360 Atoms Restaurant And Cafe,banashankari,"cafe, chinese, continental, italian",400.0,low,3.1,huggingface
21,The Vintage Cafe,banashankari,"cafe, french, north indian",400.0,low,3.0,huggingface
22,Woodee Pizza,banashankari,"beverages, cafe, fast food, pizza",500.0,low,3.7,huggingface
23,Cafe Coffee Day,banashankari,"cafe, fast food",900.0,medium,3.6,huggingface
24,My Tea House,banashankari,"cafe, european, fast food, italian",600.0,medium,3.6,huggingface
25,Hide Out Cafe,banashankari,cafe,300.0,low,3.7,huggingface
26,CAFE NOVA,banashankari,"bakery, cafe",600.0,medium,3.2,huggingface
27,Coffee Tindi,banashankari,"cafe, south indian",200.0,low,3.8,huggingface
28,Sea Green Cafe,banashankari,"beverages, cafe, fast food",500.0,low,3.3,huggingface
29,Cuppa,banashankari,"cafe, fast food",550.0,medium,3.3,huggingface
30,Srinathji's Cafe,basavanagudi,"cafe, chinese, fast food, north indian",550.0,medium,3.8,huggingface
31,Redberrys,basavanagudi,"cafe, italian",600.0,medium,4.0,huggingface
32,Foodiction,banashankari,"burger, chinese, fast food, north indian",500.0,low,2.8,huggingface
33,Sweet Truth,banashankari,"bakery, desserts",500.0,low,3.9,huggingface
34,Ovenstory Pizza,banashankari,pizza,750.0,medium,3.9,huggingface
35,Faasos,banashankari,"biryani, fast food, north indian",500.0,low,4.2,huggingface
36,Behrouz Biryani,banashankari,biryani,650.0,medium,3.9,huggingface
37,Fast And Fresh,banashankari,"chinese, fast food, north indian",400.0,low,2.8,huggingface
38,Szechuan Dragon,banashankari,"chinese, momos, thai",600.0,medium,4.2,huggingface
39,Empire Restaurant,jayanagar,"chinese, mughlai, north indian, south indian",750.0,medium,4.4,huggingface
40,Maruthi Davangere Benne Dosa,banashankari,south indian,150.0,low,4.0,huggingface
